date,location,eff_population,cases,deaths,death_per_100case,death_per_10Kpeople,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,total_boosters,total_boosters_per_hundred
7/1/2020,Alabama,3239072,38962,972,2.49,0.007687387,,,,,,,,,,,,,,
7/1/2020,Alaska,474571,1174,12,1.02,0.021493096,,,,,,,,,,,,,,
7/1/2020,Arizona,4798392,84152,1726,2.05,0.004272265,,,,,,,,,,,,,,
7/1/2020,Arkansas,1993732,21197,277,1.31,0.006570592,,,,,,,,,,,,,,
7/1/2020,California,23566950,239764,6168,2.57,0.00109051,,,,,,,,,,,,,,
7/1/2020,Colorado,3804641,33012,1697,5.14,0.013509816,,,,,,,,,,,,,,
7/1/2020,Connecticut,2344611,46572,4324,9.28,0.039580127,,,,,,,,,,,,,,
7/1/2020,Delaware,630196,11510,509,4.42,0.07013691,,,,,,,,,,,,,,
7/1/2020,District of Columbia,446234,10365,553,5.34,0.119668156,,,,,,,,,,,,,,
7/1/2020,Florida,14094013,158989,3549,2.23,0.001582232,,,,,,,,,,,,,,
7/1/2020,Georgia,6842396,79589,2779,3.49,0.005100552,,,,,,,,,,,,,,
7/1/2020,Guam,107187,1240,6,0.48,0.04478155,,,,,,,,,,,,,,
7/1/2020,Hawaii,865578,909,18,1.98,0.022874888,,,,,,,,,,,,,,
7/1/2020,Idaho,1172654,6379,92,1.44,0.012279837,,,,,,,,,,,,,,
7/1/2020,Illinois,5587526,145541,7160,4.92,0.008805328,,,,,,,,,,,,,,
7/1/2020,Indiana,4457701,47116,2650,5.62,0.012607396,,,,,,,,,,,,,,
7/1/2020,Iowa,2084684,29618,717,2.42,0.011608474,,,,,,,,,,,,,,
7/1/2020,Kansas,1929097,15142,280,1.85,0.009589979,,,,,,,,,,,,,,
7/1/2020,Kentucky,2597776,16114,597,3.7,0.014242952,,,,,,,,,,,,,,
7/1/2020,Louisiana,3064527,60286,3238,5.37,0.017523096,,,,,,,,,,,,,,
7/1/2020,Maine,839816,3294,105,3.19,0.037984511,,,,,,,,,,,,,,
7/1/2020,Maryland,3886300,68502,3205,4.68,0.012042302,,,,,,,,,,,,,,
7/1/2020,Massachusetts,4481410,109143,8081,7.4,0.01651266,,,,,,,,,,,,,,
7/1/2020,Michigan,6478925,71279,6202,8.7,0.013428154,,,,,,,,,,,,,,
7/1/2020,Minnesota,3734798,36753,1482,4.03,0.01079041,,,,,,,,,,,,,,
7/1/2020,Mississippi,1970989,27900,1082,3.88,0.019685549,,,,,,,,,,,,,,
7/1/2020,Missouri,4045501,22595,1049,4.64,0.011469531,,,,,,,,,,,,,,
7/1/2020,Montana,707699,1016,22,2.17,0.030662754,,,,,,,,,,,,,,
7/1/2020,Nebraska,1275127,19325,282,1.46,0.01144984,,,,,,,,,,,,,,
7/1/2020,Nevada,2039803,19151,512,2.67,0.013089499,,,,,,,,,,,,,,
7/1/2020,New Hampshire,571141,5802,373,6.43,0.112581657,,,,,,,,,,,,,,
7/1/2020,New Jersey,5656308,173782,15078,8.68,0.015345699,,,,,,,,,,,,,,
7/1/2020,New Mexico,1181607,12276,500,4.07,0.034444617,,,,,,,,,,,,,,
7/1/2020,New York,12880388,398770,31791,7.97,0.006187702,,,,,,,,,,,,,,
7/1/2020,North Carolina,6913585,66815,1389,2.08,0.003008569,,,,,,,,,,,,,,
7/1/2020,North Dakota,494377,3624,89,2.46,0.049759596,,,,,,,,,,,,,,
7/1/2020,Northern Mariana Islands,36246,30,2,6.67,1.840203057,,,,,,,,,,,,,,
7/1/2020,Ohio,7618060,52865,2876,5.44,0.007140926,,,,,,,,,,,,,,
7/1/2020,Oklahoma,2620292,14112,389,2.76,0.010533177,,,,,,,,,,,,,,
7/1/2020,Oregon,2786629,9019,211,2.34,0.008397243,,,,,,,,,,,,,,
7/1/2020,Pennsylvania,7540629,91864,6704,7.3,0.00968089,,,,,,,,,,,,,,
7/1/2020,Puerto Rico,1828452,7537,153,2.03,0.011102288,,,,,,,,,,,,,,
7/1/2020,Rhode Island,699904,16853,956,5.67,0.08101111,,,,,,,,,,,,,,
7/1/2020,South Carolina,3393450,37919,766,2.02,0.005952644,,,,,,,,,,,,,,
