Date,High,Low,Humidity,Type
4/1/2022,79,48,NaN,Act
4/2/2022,82,58,NaN,Act
4/3/2022,85,53,NaN,Act
4/4/2022,76,62,NaN,Act
4/5/2022,99,67,NaN,Act
4/6/2022,77,55,NaN,Act
4/7/2022,73,49,NaN,Act
4/8/2022,74,49,NaN,Act
4/9/2022,87,45,NaN,Act
4/10/2022,85,62,NaN,Act
4/11/2022,86,68,NaN,Act
4/12/2022,87,63,NaN,Act
4/13/2022,88,61,NaN,Act
4/14/2022,86,64,NaN,Est
4/15/2022,85,68,25,Forecast
4/16/2022,87,62,22,Forecast
4/17/2022,84,61,55,Forecast
4/18/2022,78,59,7,Forecast
4/19/2022,80,65,5,Forecast
4/20/2022,83,67,55,Forecast
4/21/2022,81,65,25,Forecast
4/22/2022,85,64,25,Forecast
4/23/2022,84,65,25,Forecast
4/24/2022,84,62,86,Forecast
4/25/2022,83,62,25,Forecast
4/26/2022,85,60,25,Forecast
4/27/2022,85,61,55,Forecast
4/28/2022,84,60,1,Forecast
4/29/2022,84,58,88,Forecast
4/30/2022,78,58,5,Forecast
5/1/2022,79,59,20,Forecast
5/2/2022,80,65,25,Forecast
5/3/2022,82,60,20,Forecast
5/4/2022,80,60,20,Forecast
5/5/2022,81,67,25,Forecast
5/6/2022,83,69,65,Forecast
5/7/2022,85,69,25,Forecast
5/8/2022,85,68,25,Forecast
5/9/2022,84,66,65,Forecast
5/10/2022,82,63,25,Forecast
5/11/2022,82,62,25,Forecast
5/12/2022,86,66,0,Forecast
5/13/2022,87,65,0,Forecast
5/14/2022,86,65,0,Forecast
5/15/2022,86,65,0,Forecast
5/16/2022,88,66,0,Forecast
5/17/2022,86,64,0,Forecast
5/18/2022,88,66,1,Forecast
5/19/2022,89,66,4,Forecast
5/20/2022,88,68,8,Forecast
5/21/2022,90,68,6,Forecast
5/22/2022,90,66,25,Forecast
5/23/2022,90,66,1,Forecast
5/24/2022,87,69,4,Forecast
5/25/2022,88,70,2,Forecast
5/26/2022,89,69,2,Forecast
5/27/2022,92,72,2,Forecast
5/28/2022,91,70,10,Forecast
5/29/2022,92,70,2,Forecast
5/30/2022,92,69,0,Forecast
5/31/2022,93,68,0,Forecast
6/1/2022,93,70,1,Forecast
6/2/2022,92,70,1,Forecast
6/3/2022,91,71,6,Forecast
6/4/2022,94,68,10,Forecast
6/5/2022,94,67,75,Forecast
6/6/2022,90,64,1,Forecast
6/7/2022,94,72,0,Forecast
6/8/2022,93,71,2,Forecast
6/9/2022,93,68,9,Forecast
6/10/2022,93,70,0,Forecast
6/11/2022,96,70,0,Forecast
6/12/2022,96,70,0,Forecast
6/13/2022,95,68,1,Forecast
6/14/2022,91,74,1,Forecast
6/15/2022,96,74,25,Forecast
6/16/2022,97,73,1,Forecast
6/17/2022,97,72,1,Forecast
6/18/2022,97,68,3,Forecast
6/19/2022,93,70,3,Forecast
6/20/2022,92,69,8,Forecast
6/21/2022,92,71,6,Forecast
6/22/2022,96,73,2,Forecast
6/23/2022,96,72,0,Forecast
6/24/2022,95,72,1,Forecast
6/25/2022,97,71,1,Forecast
6/26/2022,97,72,1,Forecast
6/27/2022,97,70,1,Forecast
6/28/2022,96,70,1,Forecast
6/29/2022,93,69,80,Forecast
6/30/2022,93,71,7,Forecast
7/1/2022,94,73,1,Forecast
7/2/2022,98,74,1,Forecast
7/3/2022,98,70,2,Forecast
7/4/2022,92,71,1,Forecast
7/5/2022,93,70,2,Forecast
7/6/2022,99,73,4,Forecast
7/7/2022,94,70,3,Forecast
7/8/2022,94,74,1,Forecast
7/9/2022,94,74,5,Forecast
7/10/2022,94,74,25,Forecast
7/11/2022,94,74,25,Forecast
7/12/2022,94,74,80,Forecast
7/13/2022,94,74,1,Forecast
7/14/2022,94,74,,Forecast
7/15/2022,94,74,,HistAvg
7/16/2022,94,74,,HistAvg
7/17/2022,94,74,,HistAvg
7/18/2022,94,74,,HistAvg
7/19/2022,94,74,,HistAvg
7/20/2022,94,74,,HistAvg
7/21/2022,94,74,,HistAvg
7/22/2022,94,75,,HistAvg
7/23/2022,94,75,,HistAvg
7/24/2022,94,75,,HistAvg
7/25/2022,94,75,,HistAvg
7/26/2022,94,75,,HistAvg
7/27/2022,94,75,,HistAvg
7/28/2022,94,75,,HistAvg
7/29/2022,94,75,,HistAvg
7/30/2022,94,75,,HistAvg
7/31/2022,94,75,,HistAvg
